 ;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;
Monika;:;5;4;10;6;6;8;6;6;4;
Muna;:;:;:;10;:;6;8;4;7;4;
Nadia;30;33;27;28;33;42;34;23;26;33;
Najma;:;4;4;11;4;4;13;14;13;8;
Nanna;12;8;10;11;14;12;9;11;12;15;
Naomi;30;34;27;27;29;25;24;18;20;12;
Natalia;25;36;19;26;35;31;25;24;24;31;
Natalie;52;53;67;70;66;92;93;84;80;94;
Natasha;:;4;8;:;6;6;4;15;7;7;
Nathalie;72;71;94;86;102;89;107;92;95;72;
Nela;10;5;:;:;4;5;:;:;:;:;
Nelia;10;4;4;:;5;:;4;:;:;:;
Nellie;8;5;5;12;7;7;10;9;:;:;
Nelly;28;26;21;26;23;16;16;11;10;12;
Nicole;12;18;12;12;11;17;15;16;13;14;
Nicoline;29;23;43;50;47;72;28;9;16;6;
Nikola;15;15;14;13;12;14;7;16;22;15;
Nikoline;40;33;29;35;25;38;17;22;13;11;
Nila;5;6;10;7;8;19;12;11;4;:;
Nina;33;47;33;42;37;51;38;38;42;43;
Noelle;13;5;5;6;:;:;:;:;:;:;
Noor;14;16;29;18;24;16;17;18;5;14;
Nora;405;314;423;422;406;451;407;393;408;391;
Norah;29;26;31;25;29;18;30;33;27;17;
Nova;16;28;11;13;12;7;6;:;6;:;
Oda;184;192;175;184;187;195;209;237;234;199;
Olava;21;12;17;16;16;13;5;4;:;:;
Olea;36;37;29;17;21;24;17;13;9;9;
Oline;93;78;94;64;100;64;75;60;44;47;
Olivia;264;261;236;216;186;158;111;88;55;58;
Oliwia;9;14;12;16;24;25;25;27;28;29;
Othelie;12;13;16;13;5;12;8;4;4;5;
Othilie;36;26;33;17;26;19;24;14;18;8;
Otilie;13;15;12;11;9;14;13;5;8;5;
Patrycja;:;4;4;:;7;6;5;10;8;13;
Paula;7;8;7;7;8;16;10;7;16;16;
Paulina;6;6;5;7;5;17;15;7;8;9;
Pauline;11;10;10;11;7;8;10;18;15;13;
Pernille;142;137;136;161;184;163;114;139;135;128;
Petra;26;20;24;18;15;9;19;13;13;13;
Pia;44;54;55;49;57;77;64;66;68;88;
Rachel;:;11;8;:;6;5;4;11;8;8;
Ragna;12;12;12;7;14;11;11;18;10;13;
Ragnhild;27;25;18;21;30;34;31;34;40;36;
Rakel;37;44;35;28;34;32;36;45;37;31;
Randi;5;8;4;7;10;7;4;7;14;5;
Rania;4;11;12;13;:;9;9;9;5;6;
Rebecca;20;25;25;38;36;39;39;53;47;58;
Rebecka;:;4;6;7;5;5;4;12;14;10;
Rebekka;31;29;34;42;31;40;45;59;62;62;
Regine;9;15;9;10;12;16;24;22;18;24;
Renate;:;:;:;:;5;7;6;7;11;11;
Rikke;45;43;47;52;68;49;49;48;72;54;
Ronja;96;95;103;101;106;105;93;110;117;80;
Rose;6;7;6;10;9;9;11;4;4;7;
Runa;25;25;31;22;17;18;18;14;24;24;
Ruth;16;19;14;23;25;14;28;15;19;24;
Sabrina;5;7;9;11;15;9;10;12;10;11;
Safa;10;7;10;10;4;9;5;4;:;5;
Saga;77;55;51;22;31;25;18;26;17;17;
Salma;14;24;26;19;31;21;23;21;22;20;
Samantha;8;5;7;16;7;8;6;6;12;9;
Samira;5;8;16;10;8;16;7;14;11;18;
Sandra;50;48;54;53;68;89;85;102;121;144;
Sanna;81;64;68;50;77;84;53;50;56;52;
Sannah;6;7;11;4;:;4;4;4;6;:;
Sanne;27;32;24;21;42;47;41;44;42;34;
Sara;271;310;237;288;310;332;323;367;369;363;
Sarah;113;126;115;132;140;138;145;176;147;152;
Savannah;25;19;18;17;24;12;8;10;7;5;
Selena;13;7;6;10;5;4;4;:;4;:;
Selin;5;6;6;9;7;9;10;5;9;9;
Selina;23;25;15;18;22;18;16;15;10;7;
Seline;8;19;13;13;11;6;8;5;10;14;
Selma;170;150;183;180;221;234;243;215;198;206;
Serina;7;14;11;12;15;9;11;11;8;7;
Serine;17;10;16;9;22;10;20;11;17;9;
Sienna;42;40;28;33;29;33;25;19;17;4;
Signe;114;118;113;119;100;105;99;81;98;65;
Sigrid;132;144;145;123;116;114;104;131;94;106;
Sigrun;5;4;5;6;:;4;10;5;4;11;
Siham;6;6;10;10;7;14;8;5;4;6;
Silja;27;14;17;26;17;23;20;16;17;12;
Silje;40;53;71;101;104;125;158;134;150;178;
Simone;7;6;17;15;17;19;12;17;17;20;
Sina;20;13;24;27;27;30;31;25;33;28;
Sine;4;:;8;14;8;6;9;10;9;14;
Siren;6;12;8;9;:;13;6;11;12;32;
Siri;31;42;33;39;41;45;44;50;47;64;
Siril;9;6;6;:;5;8;10;12;9;4;
Sofia;213;226;249;240;174;192;143;139;95;93;
Sofie;336;347;373;373;388;382;356;349;293;336;
Sofija;6;13;9;7;5;7;7;5;:;:;
Sol;20;22;18;15;29;26;33;16;21;27;
